,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,PxV,Day_Perc_Change,Trend,Rolling_14,bollinger_upper,bollinger_lower
17,TCS,EQ,2017-06-07,2696.0,2697.0,2700.0,2576.55,2613.95,2615.25,2624.95,2463888,6467588528.8,109104,1265805,51.37,6,2017,6443683092.0,-0.029951780415430233,Slight or No change,2573.317857142857,3500.7377408898865,1645.8979733958274
18,TCS,EQ,2017-06-08,2615.25,2598.0,2604.95,2515.5,2520.0,2521.6,2543.44,1665357,4235730503.25,80468,678314,40.73,6,2017,4199364211.2,-0.03580919606156208,Slight or No change,2574.3499999999995,3501.769883747029,1646.9301162529698
19,TCS,EQ,2017-06-09,2521.6,2520.0,2547.4,2486.0,2518.6,2507.0,2513.28,1574017,3955950265.4,83931,599286,38.07,6,2017,3946060619.0,-0.0057899746192893176,Slight or No change,2572.610714285714,3500.030598032744,1645.1908305386844
20,TCS,EQ,2017-06-12,2507.0,2497.0,2512.9,2470.4,2484.9,2487.2,2487.48,813253,2022948074.3,44849,306655,37.71,6,2017,2022722861.6,-0.00789788591942564,Slight or No change,2570.1464285714283,3497.5663123184577,1642.7265448243986
21,TCS,EQ,2017-06-13,2487.2,2465.0,2481.1,2447.0,2450.0,2451.55,2464.89,587707,1448635342.35,52410,268108,45.62,6,2017,1440793095.85,-0.014333386941138504,Slight or No change,2562.460714285714,3489.8805980327434,1635.0408305386843
22,TCS,EQ,2017-06-14,2451.55,2455.0,2476.0,2455.0,2465.4,2470.2,2469.41,744571,1838650964.0,42987,456486,61.31,6,2017,1839239284.2,0.007607432032795458,Slight or No change,2551.4321428571425,3478.8520266041724,1624.0122591101128
23,TCS,EQ,2017-06-15,2470.2,2469.0,2469.7,2405.0,2410.0,2411.2,2427.94,1498599,3638509043.15,65157,1140716,76.12,6,2017,3613421908.8,-0.023884705691846864,Slight or No change,2539.4999999999995,3466.9198837470294,1612.08011625297
24,TCS,EQ,2017-06-16,2411.2,2414.95,2435.0,2386.5,2395.0,2399.7,2402.96,1225213,2944142144.4,72001,709697,57.92,6,2017,2940143636.1,-0.004769409422694104,Slight or No change,2527.1321428571423,3454.552026604172,1599.7122591101127
25,TCS,EQ,2017-06-19,2399.7,2416.9,2446.35,2405.15,2432.0,2431.7,2430.5,822371,1998776222.2,53034,493678,60.03,6,2017,1999759560.7,0.013335000208359428,Slight or No change,2518.603571428571,3446.0234551756002,1591.1836876815412
26,TCS,EQ,2017-06-20,2431.7,2431.0,2449.0,2380.3,2443.6,2445.0,2427.14,835479,2027828499.2,56385,443227,53.05,6,2017,2042746155.0,0.005469424682321034,Slight or No change,2511.346428571428,3438.7663123184575,1583.9265448243984
27,TCS,EQ,2017-06-21,2445.0,2440.0,2442.15,2397.2,2406.75,2406.3,2412.24,828909,1999530130.0,60134,488457,58.93,6,2017,1994603726.7,-0.01582822085889568,Slight or No change,2500.825,3428.2448837470292,1573.4051162529702
28,TCS,EQ,2017-06-22,2406.3,2409.0,2431.0,2385.0,2391.45,2394.85,2403.02,2887941,6939787421.1,51314,2442403,84.57,6,2017,6916185503.849999,-0.004758342683788497,Slight or No change,2488.678571428571,3416.098455175601,1561.2586876815415
29,TCS,EQ,2017-06-23,2394.85,2399.4,2413.95,2354.0,2359.8,2361.7,2388.78,712378,1701711236.3,52090,347676,48.8,6,2017,1682423122.6,-0.01384220306073458,Slight or No change,2471.3749999999995,3398.7948837470294,1543.95511625297
30,TCS,EQ,2017-06-27,2361.7,2350.6,2384.7,2331.6,2348.0,2342.85,2357.33,987165,2327075044.5,61242,613618,62.16,6,2017,2312779520.25,-0.00798153872210694,Slight or No change,2446.149999999999,3373.569883747029,1518.7301162529695
31,TCS,EQ,2017-06-28,2342.85,2349.9,2358.0,2335.0,2346.25,2350.05,2345.89,894863,2099251693.65,46724,653390,73.02,6,2017,2102972793.15,0.0030731801011589788,Slight or No change,2427.2071428571426,3354.627026604172,1499.787259110113
32,TCS,EQ,2017-06-29,2350.05,2359.0,2372.05,2323.1,2328.95,2333.25,2342.52,1235913,2895151088.6,41555,909603,73.6,6,2017,2883694007.25,-0.007148784068424119,Slight or No change,2413.753571428571,3341.173455175601,1486.3336876815413
33,TCS,EQ,2017-06-30,2333.25,2324.4,2377.0,2323.1,2361.0,2362.35,2361.01,876924,2070428287.85,45339,543014,61.92,6,2017,2071601411.4,0.012471873995499871,Slight or No change,2403.4214285714284,3330.841312318458,1476.0015448243987
34,TCS,EQ,2017-07-03,2362.35,2357.4,2383.05,2343.1,2371.0,2373.6,2368.46,737978,1747872336.05,39614,492755,66.77,7,2017,1751664580.8,0.004762207124261897,Slight or No change,2395.3071428571425,3322.7270266041724,1467.8872591101128
35,TCS,EQ,2017-07-04,2373.6,2373.3,2380.45,2350.05,2360.8,2366.85,2366.9,607567,1438053124.65,24611,339629,55.9,7,2017,1438019953.95,-0.0028437815975732588,Slight or No change,2389.2571428571423,3316.677026604172,1461.8372591101127
36,TCS,EQ,2017-07-05,2366.85,2360.8,2365.0,2345.0,2358.0,2356.0,2354.42,407928,960433302.45,22153,216685,53.12,7,2017,961078368.0,-0.004584151931892544,Slight or No change,2381.0999999999995,3308.519883747029,1453.6801162529698
37,TCS,EQ,2017-07-06,2356.0,2359.0,2361.9,2340.1,2350.05,2347.55,2348.75,513394,1205834807.35,26826,342973,66.81,7,2017,1205218084.7,-0.003586587436332666,Slight or No change,2376.5535714285716,3303.973455175601,1449.133687681542
38,TCS,EQ,2017-07-07,2347.55,2350.0,2356.45,2325.5,2332.0,2331.95,2343.49,616045,1443697742.7,52731,417958,67.85,7,2017,1436586137.75,-0.006645225873783467,Slight or No change,2371.714285714286,3299.1341694613157,1444.2944019672561
39,TCS,EQ,2017-07-10,2331.95,2341.0,2444.9,2341.0,2435.0,2434.95,2426.54,398392,966714360.85,12486,188289,47.26,7,2017,970064600.4,0.044169043075537706,Slight or No change,2371.9464285714284,3299.366312318458,1444.5265448243988
40,TCS,EQ,2017-07-11,2434.95,2426.0,2514.8,2426.0,2482.5,2475.8,2478.13,1768752,4383194952.65,96054,937311,52.99,7,2017,4379076201.6,0.016776525185322244,Slight or No change,2374.1464285714287,3301.5663123184586,1446.726544824399
41,TCS,EQ,2017-07-12,2475.8,2482.5,2483.3,2430.1,2441.0,2439.45,2453.34,1323225,3246316255.3,62259,926229,70.0,7,2017,3227941226.2499995,-0.014682122950157694,Slight or No change,2376.5142857142855,3303.934169461315,1449.0944019672559
42,TCS,EQ,2017-07-13,2439.45,2445.0,2472.0,2426.6,2439.0,2446.4,2449.5,1565980,3835873018.25,64700,819249,52.32,7,2017,3831013472.0,0.002849002849002913,Slight or No change,2380.1964285714284,3307.616312318458,1452.7765448243988
43,TCS,EQ,2017-07-14,2446.4,2383.0,2425.0,2375.0,2399.1,2397.45,2396.18,2254216,5401499336.35,95561,853385,37.86,7,2017,5404370149.2,-0.020008992805755518,Slight or No change,2382.75,3310.1698837470294,1455.3301162529704
44,TCS,EQ,2017-07-17,2397.45,2397.7,2422.1,2382.2,2397.1,2395.45,2402.63,1105911,2657095372.05,49251,668063,60.41,7,2017,2649154504.95,-0.0008342196917557888,Slight or No change,2386.5071428571428,3313.927026604172,1459.087259110113
45,TCS,EQ,2017-07-18,2395.45,2396.15,2443.0,2396.15,2415.1,2408.35,2418.05,954001,2306823902.8,67981,587896,61.62,7,2017,2297568308.35,0.005385209459600525,Slight or No change,2390.6714285714284,3318.091312318458,1463.2515448243987
46,TCS,EQ,2017-07-19,2408.35,2415.5,2460.0,2415.1,2449.25,2449.6,2442.01,1957788,4780943652.55,87419,1244355,63.56,7,2017,4795797484.8,0.01712790914941764,Slight or No change,2398.982142857142,3326.4020266041716,1471.5622591101126
47,TCS,EQ,2017-07-20,2449.6,2449.25,2456.9,2430.5,2437.0,2444.7,2441.25,591252,1443393893.9,23307,305250,51.63,7,2017,1445433764.4,-0.0020003265839321216,Slight or No change,2404.864285714285,3332.2841694613144,1477.4444019672553
48,TCS,EQ,2017-07-21,2444.7,2434.9,2500.0,2434.55,2496.0,2491.2,2473.18,1074208,2656704863.2,64460,652870,60.78,7,2017,2676066969.6,0.019020738740949783,Slight or No change,2413.264285714285,3340.684169461315,1485.8444019672554
49,TCS,EQ,2017-07-24,2491.2,2482.0,2540.0,2482.0,2535.0,2530.7,2519.47,1135701,2861364170.3,68968,749335,65.98,7,2017,2874118520.7,0.015855812459858676,Slight or No change,2424.9678571428562,3352.387740889886,1497.5479733958266
50,TCS,EQ,2017-07-25,2530.7,2525.75,2580.0,2518.4,2579.0,2571.5,2552.41,1339416,3418736144.5,93466,915489,68.35,7,2017,3444308244.0,0.016122021575058376,Slight or No change,2440.3607142857136,3367.780598032743,1512.940830538684
51,TCS,EQ,2017-07-26,2571.5,2560.0,2575.0,2547.0,2552.0,2556.0,2559.66,729913,1868329653.3,38234,464420,63.63,7,2017,1865657628.0,-0.006027610344157107,Slight or No change,2455.249999999999,3382.6698837470285,1527.8301162529694
52,TCS,EQ,2017-07-27,2556.0,2542.2,2584.8,2466.5,2477.0,2481.7,2499.85,2127652,5318805858.45,58582,1376530,64.7,7,2017,5280193968.4,-0.02906885758998445,Slight or No change,2465.9464285714275,3393.366312318457,1538.526544824398
53,TCS,EQ,2017-07-28,2481.7,2481.0,2493.05,2442.0,2484.95,2484.3,2467.41,691376,1705908234.75,55534,349700,50.58,7,2017,1717585396.8000002,0.0010476689366161196,Slight or No change,2469.471428571428,3396.8913123184575,1542.0515448243984
54,TCS,EQ,2017-07-31,2484.3,2471.0,2519.0,2463.0,2494.95,2491.8,2490.03,1009831,2514510450.4,59801,555095,54.97,7,2017,2516296885.8,0.00301895906291505,Slight or No change,2470.614285714285,3398.0341694613144,1543.1944019672553
55,TCS,EQ,2017-08-01,2491.8,2500.0,2520.75,2491.0,2495.15,2501.65,2502.14,873730,2186195097.35,42188,620303,70.99,8,2017,2185766654.5,0.0039529657275865215,Slight or No change,2475.0571428571425,3402.4770266041724,1547.6372591101128
56,TCS,EQ,2017-08-02,2501.65,2500.0,2508.0,2462.0,2475.0,2473.8,2484.51,625512,1554089626.75,44731,366332,58.57,8,2017,1547391585.6,-0.011132652449383329,Slight or No change,2477.0142857142855,3404.434169461315,1549.5944019672559
57,TCS,EQ,2017-08-03,2473.8,2480.0,2502.0,2466.45,2490.05,2489.45,2486.75,941274,2340709563.5,39294,732362,77.81,8,2017,2343254559.3,0.006326299620017739,Slight or No change,2483.585714285714,3411.0055980327434,1556.1658305386843
58,TCS,EQ,2017-08-04,2489.45,2490.8,2528.3,2488.0,2525.0,2522.8,2510.86,693945,1742396091.9,31371,340218,49.03,8,2017,1750684446.0000002,0.013396533370825027,Slight or No change,2492.682142857143,3420.1020266041724,1565.2622591101133
59,TCS,EQ,2017-08-07,2522.8,2516.5,2520.0,2481.2,2507.4,2503.45,2491.28,942760,2348682444.05,29848,699856,74.23,8,2017,2360152522.0,-0.0076700491517363014,Slight or No change,2499.475,3426.89488374703,1572.0551162529703
60,TCS,EQ,2017-08-08,2503.45,2512.0,2528.6,2496.3,2500.15,2503.05,2507.64,536979,1346550397.15,24609,309875,57.71,8,2017,1344085285.95,-0.00015977950428391896,Slight or No change,2503.2928571428574,3430.712740889887,1575.8729733958278
61,TCS,EQ,2017-08-09,2503.05,2500.0,2522.85,2493.3,2508.35,2512.0,2511.32,496473,1246803081.55,33860,316032,63.66,8,2017,1247140176.0,0.003575637721979108,Slight or No change,2508.100000000001,3435.5198837470307,1580.6801162529712
62,TCS,EQ,2017-08-10,2512.0,2509.0,2520.6,2486.35,2520.0,2511.45,2499.22,763086,1907116797.3,37900,507304,66.48,8,2017,1916452334.7,-0.00021894904458608091,Slight or No change,2509.5464285714293,3436.966312318459,1582.1265448243996
63,TCS,EQ,2017-08-11,2511.45,2499.9,2535.0,2483.0,2492.65,2496.05,2503.79,697368,1746060388.35,41945,327636,46.98,8,2017,1740665396.4,-0.006131915825518974,Slight or No change,2507.07142857143,3434.4913123184597,1579.6515448244002
